order,url,city,company_name,wage,experience,education,time,company_size,work_type,company_type,company_location,job_required,company_welfare
514,https://jobs.51job.com/guangzhou/96486617.html?s=01&t=0,广州,广州市景心科技股份有限公司,1.5-2.5万/月,3-4年经验,硕士,12-07发布,广州市景心科技股份有限公司成立于2008年6月，2015年7月挂牌新三板，证券代码为832727。十年来，景心科技致力成为领先的移动互联网行业应用运营商，为保险、银行、移动运营商、石油和电力等五大行业客户提供专业的互联网解决方案和产品。景心科技的努力获得客户认可及政府和行业的褒奖，先后获得“广东省十佳新三板企业”、“广东省移动互联网十大创新企业”、“广州市优秀软件企业”、“中国移动十佳战略合作伙伴”等荣誉称号。景心科技扎根移动互联网行业应用开发及运营领域，聚焦于大型国有商业企业的互联网转型升级和信息化建设，为大型企业的业务链建设及优化、产品研发及运营、客户营销平台和服务体系构建提供专业高效的解决方案。公司坚信“SaaS平台+服务体系”的商业模式将成为在企业服务市场的发展趋势，公司在将持续优化产品和服务，为企业客户创造更大的价值。景心科技也是广东省知名高新企业，在技术研发上持续投入大量资源，拥有近百个专利和知识产权。目前与公司建立合作的企业客户超过300家，正在使用公司产品和服务的个人用户超过2亿，并呈高速发展趋势。景心科技为员工提供可持续发展的公司平台，公司秉承着“高山仰止、景行心致”的企业精神，希望公司员工成为“激情、正直、卓越”的职业人。公司不断优化薪酬体系，让员工通过努力过上更美好的生活；公司也不断完善激励机制，让优秀员工脱颖而出，获得更高的收入回报和晋升机会；公司倡导“以奋斗者为本”，唯有更多的员工持续坚持艰苦奋斗，才能让员工和企业实现共赢。公司福利：1、一天8小时，双休工作制；工作满一年享受带薪年假，六险一金；2、国家法定节假日休息、其他法定假期（如婚假、产假等）；3、每月定期的员工内训（景心学堂和沙龙）和外出学习培训，及完善的岗前、入职、升职培训；4、公司评选年度优秀团队、优秀员工、一但评选给予丰厚奖金奖励；5、每人每年600元活动经费、下午茶经费及定期各类主题活动（如户外拓展训练、生日会、圣诞节、春节联欢晚会等）；6、传统节日关怀：员工节日礼金、礼盒等福利（如春节、中秋节、端午节等）；7、员工关怀补贴：如员工出差补贴、出差餐补、高温补贴，员工手提电脑采购补贴等；8、员工关怀慰问：如入司纪念日礼品、结婚贺礼、生育贺礼、景心宝宝生日蛋糕、养生花茶、加班零食柜供应等；9、员工文体活动：充电阅览室设立，长期预定羽毛球、篮球、足球固定场地，及不定期比赛活动。,算法工程师,民营公司,上班地址：广州市天河区天府路307号3楼,"岗位职责：1、负责工业大数据建模、算法设计及实现工作，并将研究成果形成应用，推进实际业务发展；2、挖掘用户行为数据及第三方数据，为公司个性化服务方案提供大数据支持。3、负责大数据算法框架体系架构设计和相关技术路线规划；4、大数据并行计算框架的设计和建设；5、并行算法的设计和实现、调试和优化；6、指导开发工作中发现存在的问题，并提出改进意见。任职要求：1、数据挖掘,机器学习等相关专业硕士及以上学历, 有深厚的理论研究背景和2年以上相关领域开发经验;2、熟练掌握一种以上深度学习框架，对深度学习网络模型训练有深刻的理解，了解和关注最新深度学习进展，能够灵活开展深度学习研发工作;3、数学基础好，熟悉常用数学方法；4、精通Java、Python，同时掌握java和 python语言开发优先考虑；5、沟通能力佳，工作细心谨慎。","['五险一金', '餐饮补贴', '定期体检', '绩效奖金', '年终奖金', '专业培训']"
515,https://jobs.51job.com/beijing-hdq/104635472.html?s=01&t=0,北京-海淀区,北京并行科技股份有限公司,2.5-3.8万/月,8-9年经验,本科,12-06发布,北京并行科技有限公司（以下简称并行科技，股票代码839493）成立于2007年，坐落在北京市海淀区上地信息产业基地，是一家专注于高性能计算（以下简称HPC）领域的高新技术企业。并行科技的团队骨干均为HPC领域的顶尖技术专家、学者，主要成员也都是知名大学相关专业的大学生、研究生。一直以来，并行科技与微软（Microsoft）、英特尔（Intel）、IBM、惠普（HP）、戴尔（Dell）、联想（Lenovo）等软硬件厂商都有着非常紧密的合作伙伴关系；与中国科学院网络中心超级计算中心、清华大学、北京航空航天大学等科研院校的HPC用户保持着良好的技术服务和人才互助关系。并行科技的服务范围包括HPC技术支持、培训以及相关软件代理、定制开发等；主要客户包括航天、能源、制造、气象、动漫、材料科学、网络等对计算性能要求较高的科研院所及企事业单位。并行科技无疑是高性能计算（HPC）这一尚不为广大用户所熟知的领域的行业翘楚！2009年公司迎来了新的发展阶段，全面整合内外资源，确立了高性能计算技术服务、软件代理及软件开发、并行实验室三大业务，逐步走向专业化、系统化运作。并行科技在高性能计算领域提出的技术服务理念以及正在研发的软件技术均处于行业领先地位，必将引领国内高性能计算这一以“性能”为生命的行业进入快速发展阶段。并行科技是一家成长型公司，从2011年起同战略合作伙伴 中国科学院网络信息中心(http://www.cnic.cn )下属单位北京超级云计算中心/北京北龙超级云计算有限责任公司(http://www.sccas.cn )一起将为高性能计算客户提供全面优质的服务！技术关键词：性能分析；HPC方案设计；Cluster；高性能计算；并行计算；网格计算；云计算；应用软件测试、移植、调优和并行化（OpenMP共享内存并行化，MPI分布式内存并行化）等。福利待遇：正常双休、法定节假日、七险一金、带薪年假、奖金、旅游、定期体检、餐补,系统架构师,民营公司,上班地址：北京市海淀区西北旺东路10号院（东区）21号楼汇冠大厦三层],岗位职责：1、主导大数据平台和应用架构选项、评估、设计、优化及相关核心开发，如大数据存储、挖掘、分析； 2、制定数据应用架构方案，涉及数据存储、查询引擎和实时计算；3、带领研发团队完成技术选型、攻坚研发和技术任务，指导开发人员的工作，提高其大数据方面的技术水平和认识；4、参与产品研发计划制定，协助负责人完成团队人员绩效评估考核 ；岗位要求：1、8年以上IT行业工作经验，精通Java/C/Python/Golang/Scala 语言中的一种或多种，精通任意一种语言的多线程、网络编程、分布式开发； 2、参与2个及以上大数据分析平台的架构设计和研发，并且在这些系统的研发过程中担任主架构师或者核心开发人员；3、精通Hadoop、Hive、Spark、MapReduce、Storm等大数据技术，有实际大数据研发经验，有相关实践和调优经验熟悉 ElasticSearch 分布式原理和源码经验者优先； 4、抗压能力强，有良好的沟通能力，团队合作精神；,"['五险一金', '补充医疗保险', '员工旅游', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检', '弹性工作']"
516,https://jobs.51job.com/guangzhou/98387768.html?s=01&t=0,广州,广东马上信息科技有限公司,6-8千/月,2年经验,本科,12-08发布,"广东马上信息科技有限公司（www.vxiao.cn），成立于2013年8月1日，注册资本1111.11万元，获得多家投资机构的股权投资合作。公司系国家高新技术企业和软件企业，并先后通过了IOS9001、IOS14001、IOS27001、IOS20000、GB/T28001-2011、OHSAS18000、CMMI3、国家3C认证等规范性认证，公司申请各类计算机著作权、发明专利、使用新型专利和产品外观专利等超过100项。公司总部位于广州，同时在北京、上海、深圳、厦门、南宁、长沙、南昌、武汉、合肥、杭州、南京、济南、郑州、石家庄、太原、长春、成都、贵阳、重庆、天津、昆明、西安、乌鲁木齐等城市设有营销服务机构。公司产品V校，是一个一站式、全终端、云定制的智慧教育云平台。V校云平台，面向K12学校、教育局、教育集团，以及中职高职和高校，提供超过20+个系统，200+项应用，包括：?V基础沟通?V家校互动?V校园文化?V移动办公?V校园安全?V数字德育?V移动教务?V协同教研?V互动课堂?V智慧教室?V校园感知?V智慧授课?V选课走班?V个性学习?V学业分析?V智能考勤?V共享阅读?V智慧膳食?V教师发展?V成长档案?V数字健康?V智能门户?V电子储物柜?V教育大数据等等。基于V校云平台，公司先后推出了一系列创新的智能硬件产品，包括智慧班牌V屏、未来教室解决方案VBOX、教师授课终端VTOUCH、校园感知系统V手环、共享阅读系统V图、学生智能互动终端VCARD、校园一卡通系统VPOS、全景录播系统VVR、走班制下的智能储物系统VLOCKER等等。经过多年的发展和积累，客户覆盖全国100+个城市，3000+所学校。V校以专业的产品方案、快速的产品创新、良好的产品体验，迅速发展成为教育科技市场一支特色鲜明的生力军。我们致力于“做最好的智慧教育云服务”的愿景，希望更优秀的你加盟。我们理解的成功逻辑：强烈的欲望和理想，卓越的团队和个人，有效的沟通和激励。对我们有兴趣，从这里（hr@mashang.cn）开始。员工福利：1.每周五天工作制，上班时间：9:00-12:00,14:00-18:00(（每日7小时，五天工作制）；2.六险一金：公司为员工购买六险一金，养老保险、失业保险、医疗保险、工伤保险、生育保险、重大疾病险，住房公积金；3.竞争力的薪酬：固定工资+绩效奖金+年终奖+加班补贴+午餐福利+全勤补贴；4.员工享受带薪年假、带薪病假、法定公共假期等假期日福利；5.员工生日会、重大节日礼品和礼金（春节、端午、中秋节等）贺礼费、下午茶福利等；6.公司每年安排员工旅游活动，每月部门团建活动，每周定期体育活动，免费健身房活动；7.公司设有创意休闲室、图书一角、员工餐厅（包午餐）。公司网址：http://www.vxiao.cn公司地址：广州市天河区中山大道西89号华景软件园B栋西梯8楼（靠近华景新城BRT公交站)联系电话：020-85237022联系人：陈小姐公司招聘邮箱：hr@mashang.cn",运维工程师,创业公司,上班地址：广州市天河区中山大道西89号华景新城华景软件园B栋8楼（靠近华景新城BRT）,运维工程师<b>岗位职责</b>负责整体规划建设政务云平台相关能力和应用的运维系统分析瓶颈，优化架构改造，保证数据安全；参与架构优化、容灾优化、性能优化等项目；推进现网运维自动化工具应用，提高运维效率和质量；保障系统7*24小时稳定运行。 <b>岗位要求</b>2年以上服务器运维经验、阿里云、腾讯云等；熟悉linux环境下管理。Linux系统安全，shell python编程；参与架构优化、容灾优化、性能优化等项目；熟悉各种网络策略，跨IDC部署容灾方案；对运维工作兴趣浓厚，具备较强的运维技能；有良好的沟通能力，良好的团队合作意识； 做过脚本发布、自动化监控熟悉linux服务器；能够处理电脑和网络故障优先。,[]
517,https://jobs.51job.com/guangzhou-thq/93359324.html?s=01&t=0,广州-天河区,广州大白互联网科技有限公司,6-8千/月,2年经验,本科,12-07发布,广州大白互联网科技有限公司创设于2015年，坐落在美丽的广州南沙自贸区。公司是一家以互联网公共服务与基础服务提供为主营业务的高科技企业，具体业务内容包括互联网政务警务平台、身份认证平台建设与运营，互联网开放平台二次深度开发，智能硬件设备研发、生产与销售，以及互联网移动支付通道搭建。公司立足于“互联网+政务”、“互联网+警务”、“互联网+身份认证”等前沿领域，凭借出色的研发实力与先进的服务理念，精心打造移动警务便民服务、财税移动征缴服务、可信身份认证服务等多条产品线，为公共服务供应方与行业应用提供多方位的基础支持，助推用户激发业务发展新动力。目前，广州大白互联网科技有限公司设立五个部门，分别为总经办、技术部、项目部、运营部、综合部。公司员工年龄主要分布在20—30岁之间，分别来自于国内外知名院校，大部分拥有博士、硕士研究生、本科学历。公司采取规范化管理与扁平化管理相结合的团队管理方式，团队成员思维活跃、锐意创新，自我实现意愿强烈，富有蓬勃活力，在技术研发、产品设计、营销推广等方面具备过硬的实力，为公司打造国内领先的互联网科技产品提供坚实可靠的动力资源。工作时间原则为周一至周六上午9:00-12:00，下午14:00-18:00，周六公司无明确工作安排，员工可自行安排工作时间和地点；周日为休息日，其它节假日参照国家有关规定执行。公司可根据实际需要实施弹性工作时制。,测试工程师,民营公司,上班地址：石牌桥地铁站,岗位职责：1.参与互联网产品的全过程，主要负责测试工作，参与需求评审、设计评审； 2.进行缺陷跟踪和在线质量监控； 3.对测试中发现的问题能够进行分析和定位，与产品、开发沟通解决方案； 4.测试领域：网站前端，接口服务，客户端，H5。任职要求：1.计算机或通讯相关本科及以上学历；2.熟悉软件测试理论和方法，熟悉相关的测试流程、测试文档标准； 3.能独立制定测试计划、测试用例、测试规范； 4.熟悉常用的测试工具和Bug管理跟踪软件，版本控制软件； 5.热爱测试工作，具备出色的学习、沟通和协调能力，有良好的团队协作意识； 6.【进阶需求】熟练使用Shell、Python、Perl等脚本语言之一，可以为测试流程编写测试工具；7.年龄25-35岁。注：可接受优秀应届毕业生。工作时间：弹性制，双休。,"['五险一金', '员工旅游', '弹性工作', '年终奖金', '带薪年假', '节日福利', '绩效奖金', '定期体检', '周末双休']"
518,https://jobs.51job.com/beijing-cyq/104474450.html?s=01&t=0,北京-朝阳区,货车帮,2.5-3万/月,5-7年经验,本科,12-07发布,关于我们：货车帮成立于2014年3月，由戴文建、唐天广、刘显付创立，是中国“互联网+物流”独角兽公司。作为全国最大的车货匹配信息平台，货车帮致力于持续为用户提供准确便捷的信息交互平台服务。同时，货车帮也已发展成为全国最大的物流综合服务平台，通过覆盖车油、ETC、新车、金融、保险、园区等服务领域，为货车司机提供一站式服务。2018年，货车帮已经成功上线在线运费交易平台，目前实现单月交易数亿元，为货主和司机间的交易提供更多保驾护航。截至2018年8月，货车帮货主会员超125万家，会员车辆数超520万辆。通过减少空驶，仅2017年一年，货车帮为中国节省了860亿元的燃油损耗，减少4600万吨的碳排放。展望未来，货车帮将持续提升用户体验，拓展新业务和新市场，并进一步探索新能源、无人驾驶、国际化等领域，推进互联网物流的基础设施建设。货车帮曾向习总书记做专题汇报、获***总理多次点赞，签约国家发改委实现信息共享，战略合作阿里云大数据平台，吸引腾讯连续四轮投资。秉承“四心”价值观，货车帮倡导开放融和共赢，希望与行业一起行动，利用互联网技术及公路物流行业数据优势，改变物流行业，推动社会进步。货车帮总部设立在贵阳，技术研发中心设立在北京和成都，金融中心设立在上海。作为互联网+物流独角兽公司，货车帮获得了众多投资人青睐。2015年3月-8月，货车帮完成A轮、A+轮、A++轮融资1亿美元。2016年-2017年，B轮累计融资达3.27亿美元。其中2016年12月完成的B1轮融资，金额达1.15亿美元，创下中国“互联网+物流”行业私募融资单笔金额的最高纪录。在货车帮与运满满合并成立满帮集团后，2018年4月，满帮获19亿美元融资，国新基金领投，软银愿景基金，谷歌资本(CapitalG)、Farallon Capital、Baillie Gifford、Ward Ferry、阳光保险融汇资本、金沙江创投、K11 Investment、农银国际跟投，红杉资本、腾讯、光速中国、全明星基金、钟鼎创投、高瓴资本、元生资本、襄禾资本、纪源资本等现有投资人也参与融资。我们的文化：平均年龄不到30，由无数个小鲜肉组成。公司氛围快乐、年轻富有活力、鼓励创意及创新！在这里没有论资排辈，只要你有能力就能发光！我们驻扎在北京、上海、贵阳、成都，在这里不仅有最优质的工作环境和氛围，还有众多美女帅哥！我们更为吃货们准备了丰盛的下午茶，水果、咖啡、糕点应有尽有，我们深知留住员工的心，就要留住员工的胃！如果你相信***逆袭！如果你相信这是一个“分享经济年代”，就加入我们吧！用梦想去组建一个团队，用团队去实现一个梦想！2018，货车帮需要你，让我们共同去创造更多奇迹！,大数据开发工程师,民营公司,上班地址：望京SOHO塔1A座0912,工作职责：1.      研发大数据平台基础服务能力、开发标准代码框架和代码库；2.      负责攻克技术难关，保证大数据系统的稳定运行； 3.      解决系统遇到的技术方面问题，寻找可行的改进方案并推行。 4.      制定技术规范和开发流程，提升团队的开发效率和开发质量。 岗位要求：1.      计算机相关专业本科以上学历，4年以上工作经验，至少2年互联网公司大数据研发经验；2.      较强的数据库及SQL能力， 至少熟悉MYSQL、PostgreSQL、Greenplum等开源数据库中的一种；3.      熟悉Hadoop架构和工作原理，精通Hive、MR，有HQL优化经验，有资源管理经验；4.      了解LINUX脚本编程，有 Python、Perl等脚本编程能力；5.      有Storm或spark streaming研发经验优先；6.      有其他数据研发相关工具经验优先，例如HBase、ES、Redis；7.      有进取精神、学习精神和创新精神；8.      沟通和合作能力强；主动性强、责任心强。,[]
519,https://jobs.51job.com/beijing/104372072.html?s=01&t=0,北京,北京名道恒通信息技术有限公司,1-1.5万/月,2年经验,本科,12-07发布,名道恒通成立于2007年3月30日，注册在望京科技创业园，2015年2月，公司搬入北京市朝阳区时间国际大厦。名道恒通是一家集软件产品研发、实施、咨询服务并获得“双软”认证的高科技企业。公司主要业务是为包括石油化工在内的能源行业提供信息技术服务，业务范围涉及信息技术的推广及应用，业务内容包括三个方面：一是研发具有自主知识产权的应用类软件产品及推广；二是企业管理信息系统及业务框架战略、业务流程规范化的咨询服务，重点推广企业ERP系统；三是推广国内外先进并适合用户需要的软（硬）件产品，并提供相应的代理及增值服务。名道恒通现设有市场营销部、咨询事业部、软件事业部、财务部、综合部，在编正式员工近150人。公司有一批具有石油、石化、电力、煤炭等行业背景的资深专家和一批集业务能力与IT能力于一身的复合型人才队伍，在能源行业的经营管理系统、生产管理系统、操作控制系统等方面具有较强的服务能力，能够承接各种类型、各种规模的信息化建设项目。名道恒通为员工提供丰富的福利，工作氛围融洽，领导nice。1）午餐补贴、交通补贴、通讯补贴、电脑补贴、出差补贴等；2）法定节假日、五险一金、交通意外险、补充医疗；3）节日礼品、定期体检、结婚生子礼品等；4）春游、秋游、健身活动等；5）年终奖金、定期培训等；6）每年两次综合性绩效考核，为员工提供晋升、调薪机会；,数据分析师,民营公司,上班地址：北京市朝阳区曙光西里甲6号时间国际H座北区505室,,"['五险一金', '补充医疗保险', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']"
520,https://jobs.51job.com/beijing-cyq/106126791.html?s=01&t=0,北京-朝阳区,太阳驹（北京）科技发展有限公司,15-20万/年,5-7年经验,本科,12-08发布,太阳驹（北京）科技发展有限公司成立于2003年，是国家高新技术示范企业，拥有多项自主知识产权和专利技术，同时多次获得国家科技部、北京市科委技术创新资金支持。太阳驹多年来始终以侦查技术装备、应急指挥系统、信息安全系统、通讯侦察车、通讯基站、云计算、云服务等产品和解决方案为核心业务方向，打造技术研发、产品制造、销售服务、建设运营为一体的完整的产业链，服务于国安、公安、国防、军队、检察、司法等多个领域。公司多次参与国家重大活动的安保工作，2009年60年国庆、2010年广州亚运会、2017年两会等保障做出了突出贡献，多次受到国家、军队、安全方面领导人的高度评价与赞扬，为国防事业、国家经济发展、社会稳定做出了突出贡献。“自主创新，报效国家”，是太阳驹人永远的精神与价值追求，太阳驹人将持续技术创新，提供更专业的产品及全面的解决方案，为国家创造更大的价值。,研发经理,民营公司,上班地址：北四环东路108号,1、参与产品规划和需求分析，按照产品规划和需求完成产品模块架构的设计和核心功能开发；2、安排和指导团队成员按照需求和开发目标完成开发任务；3、解析Android、iPhone手机中APP存储的数据（联系方式、联系人、消息、临时会话等等）；4、5年及以上C++开发经验，拥有良好的C++编码规范，3年及以上跨平台工作经验，有2年以上的团队管理经验； 5、熟悉iOS、Android系统的文件系统，掌握常见的APP数据保存方式，熟练使用STL、Boost、OpenSSL等第三方库； 6、熟练使用LUA、Python等脚本语言；7、深入了解常见的加解密算法及其实现应用；8、主动汇报工作进展和困难； 9、完成上级交办的其他工作。,[]
522,https://jobs.51job.com/guangzhou-yxq/105776207.html?s=01&t=0,广州-越秀区,世展和新展联合展览（广州）有限公司,1-1.5万/月,3-4年经验,本科,12-07发布,世展和新展联合展览（广州）有限公司公司地址：广州市越秀区德政北路538号达信大厦2502-2504室公司规模：20-99人  公司性质：合资  公司行业：广告/会展/公关世展和新展联合展览（广州）有限公司是一家在华的合资展览公司，集团总公司新展控股是新加坡最大的投资公司淡马锡控股全资附属子公司，新展控股旗下拥有一系列的子公司，负责提供集成式的会展场馆管理与顾问服务方案，并举办多元化的专业展览与会议。淡马锡成立于1974年，是一家设立在新加坡的投资公司。得益于全球10个办事处的支持，截止于2016年3月31日，淡马锡拥有的投资组合价值高达2，420亿新元，主要集中在新加坡和亚洲地区。淡马锡的投资着眼于四大主题：转型中的经济体、增长中的中产阶级、强化中的比较优势和新兴的龙头企业。它的投资组合涵盖面广泛，行业包括金融服务、电信、媒体与科技、交通与工业、生命科学、消费与房地产，以及能源与资源。世展展览是目前国内最早的在海外自主办展的展览公司，早在2004年便开始了在印度的自办展。2017年，世展展览与新加坡展览公司联合成立世展和新展联合展览（广州）有限公司。公司以“领出去”“引进来”为国内、国际企业开拓国际及中国市场搭建最优质的双向会展平台为使命，以国际***标准提供最专业、完善、周到的全方位会展服务，涵盖展览及会议策划、主办、承办、代理、推广及展览工程等多个领域。通过常年的展览活动，与国内外合作机构共同组建了国内外贸易商的数据资料库，以打造“一带一路”最专业以及最强大的B2B展览品牌为目标。公司按照国际化先进经营理念进行经营和管理，近年业务取得了长足发展，已形成了一个以自主办展为核心，以国际专业展览推广及展览、商业展示工程为重点的多元化、专业化业务体系。我们拥有一支年轻化、高学历、高素质的展览团队，致力于为客户提供最合身，最有效的展会服务。世展团队提倡创新精神，有完善的激励机制，鼓励每位成员以最大的激情投入工作。团队内部气氛融洽，团结，同时积极，活跃，每位成员都能在自己的位置上精彩的实现自我价值。[中国公司旗下展会]·海南M3 酒店展·广州FHW 国际特色食品饮料展·中国商品印度（孟买）展览会·中国商品品泰国（曼谷）展览会·中国商品巴西（圣保罗）展览会·中国国际国际节能及环保技术展·新疆特色林果产品（广州）交易会[业务范畴]会展承办：主办及承办各种国际性或地区性的综合或专业展览会及推广活动、新闻（产品）发布会等。展览代理：组织企业参加或参观全球各地著名国际性综合或专业展览会。展览工程：承接国内外各种展览、商业展示、设计、制作工程。商务旅游：集团旗下的WORLDEX HOLIDAY 旅游公司凭借着母公司的庞大的网络，在全球范围内提供各类相关旅游接待以及公商务会议，咨询，展团接待等服务。[员工福利]实行5天工作制，公司为员工提供完善的职业发展平台，良好的福利待遇，包括购买五险一金、年度旅游、完善的奖励、休假制度等。联系方式公司名称：世展和新展联合展览（广州）有限公司公司网址：www.worldex.singex.com公司地址：广州市越秀区德政北路538号达信大厦2503-2504室,技术经理/研发经理,合资,上班地址：广州市越秀区德政北路538号达信大厦2502-2504室,"1、带领技术团队完成公司跨境进口B2B电商网站系统架构规划、研发和建设工作。2、指导关键技术模块，并对系统安全性，稳定性负责，确保公司电商系统的研发进展；3、负责电商系统研发项目的质量和进度的控制；4、负责对核心技术团队的管理和培养；5、负责电商网站上线前后的测试和运维工作。岗位要求：1、大学本科或以上学历，3年以上互联网企业技术开发及管理经验、具有敏捷团队管理经验和良好的表达沟通能力，能脚踏实地的工作、能和公司一起发展；2、具有良好的软件工程意识，深刻理解软件系统架构，精通面向对象分析设计方法，熟练掌握设计系统的构架及完整解决方案；3、熟悉电商B2C或B2B网站系统，具备相似电商系统的研发和运维经验；4. 精通PHP，5年以上的PHP+MySQL后台开发经验，至少熟悉一种MVC框架，如THINKPHP、YII；熟悉THINKPHP框架，并具有实际高并发经验者优先考虑；5. 精通Python，C语言；有修改PHP底层源码着优先考虑；6. 熟悉Linux，mysql工作原理，精通具有MySQL索引优化、查询优化和存储优化经验，精通http协议；7. 熟练掌握并深入理解MongoDB、Redis、Hadoop，8. 熟悉使用Elasticsearch或Solr，掌握各种调优技巧； 9.   精通HTML5, CSS3,JavaScrip,vue,不同浏览器的兼容,对前端模块化, 组件化有深入的理解, 熟悉主流框架与常用类库;10. 熟练使用 Webpack工具, 对其实现细节有了解与研究;熟悉或精通NodeJs, 具备使用js熟练进行全栈开发的能力;11. 三年以上 Web 前端工作经验,有移动web开发经验；二个或以上在线项目,有Weex等跨终端多平台经验开发优先;","['五险一金', '员工旅游', '年终奖金', '餐饮补贴', '周末双休']"
523,https://jobs.51job.com/guangzhou-hpq/100571306.html?s=01&t=0,广州-黄埔区,广州锐目数码科技有限公司,0.8-1.6万/月,2年经验,本科,12-06发布,广州锐目数码科技有限公司是专业的人工智能与流媒体系统解决方案开发提供商。公司从事嵌入式开发多年，有丰富的嵌入式Linux开发经验，致力于基于Linux的流媒体系统解决方案的研发，已经研发出多套与媒体系统相关的产品。同时，公司于2016年年初发布自主研发的SharpiFace人脸识别SDK，成为国内较早进入人工智能领域的科技公司之一，经过两年多的发展，政务人证机、人脸识别门禁、无人便利店、智慧货架等产品先后落地，业务遍及银行、政务、新零售、公安、税务、安防、广告、智慧小区等各行各业和各种场合。本公司的产品线有：人证核身机、人脸识别门禁、无人便利店、智慧货架、多媒体广告发布系统等。产品已经成功在全国多个地区城市投入使用，地区包括有:广州，深圳，成都，重庆，北京，上海，杭州，苏州，韶关，福建，东莞等地，甚至远销沙特、迪拜、美国、以及欧洲，并与华东，华南，华北，西部等当地的系统集成商，行业专用用户达成友好合作关系。行业范围涉及政务中心，酒店，银行，移动营业厅，电信营业厅，医院，电脑城，数码城，行业批发市场，车站，大型企业内部，连锁超市等，取得良好的广告与信息发布效果。公司目前处于快速上升期，希望广大有志之士加入我们的团队，加入改变世界的人工智能浪潮。公司日常管理：福利健全，节日礼物和同事生日聚餐，领导nice；放假制度按照国家规定，包括每周五天7.5小时工作制；上班时间为9：00-18：00；逢周六组织游泳、羽毛球、爬山等运动。公司地址：广州市科学城绿地中央广场B2栋520室公司网址：www.a-eye.net.cn     www.sharp-i.com.cn          www.sharp-i.net邮箱是：hr_@sharp-i.net(为防止垃圾邮件，发邮件时请将hr后面的下划线去掉),Android开发工程师,民营公司,上班地址：科学城绿地中央广场B2栋520室,"岗位职责：1.负责人脸识别等应用程序开发；2.负责多媒体信息发布系统的维护与开发；3. 负责移动平台SDK的开发、优化、维护；4. 负责新技术的调研和难点攻坚。任职要求：1. 计算机相关专业大学本科及以上学历；2. 扎实的Java语言和Android编程基础，具有2年以上Android项目开发经验；3. 有一定的C/C++基础，熟悉NDK环境下C/C++的基本开发；4. 优秀的编码习惯，具备较强的的设计、开发、调试能力；5. 熟悉Android常用开发框架，对HTTP，Socket和sqlite有较深刻理解和经验，有网络编程经验者或Java Server端开发经验者优先；6. 优秀的学习能力，在面对崭新的知识栈时，能够快速将习得的知识转化成代码；7. 具有良好的英文阅读水平，能做到流畅阅读英文技术文档；8.对人工智能领域有着浓厚兴趣，能吃苦，能适应短期的国内或国外出差。优先条件：1. 具有人脸识别/区块链等AI行业开发经验；2. 具有图形/算法相关开发经验；3. 算法比赛获奖，有开源项目和技术博客；4. 掌握一种脚本语言（Python/JavaScript/Lua）；5. 有主导完成优秀应用或SDK项目开发经验；6. 对Android的UI控件、动画有实际使用和优化经验；7. 有阅读Android源码经验者优先；8. 英语4级或以上，可以流畅阅读各类英文文档。职位诱惑：人工智能,高速发展,弹性工作,周末双休注：为了不耽误彼此的宝贵时间，无Android相关开发经验、且不了解Android相关知识者，请勿投简历！谢谢合作！","['员工旅游', '弹性工作', '年终奖金']"
524,https://jobs.51job.com/shenzhen-ftq/104664352.html?s=01&t=0,深圳-福田区,北京源晨动力技术服务有限公司,6-8千/月,无工作经验,大专,12-07发布,北京源晨动力技术服务有限公司前身为联想集团全资子公司“北京北联晨光信息系统有限公司”的分支，2003年正式注册成立，主要从事联想IT产品售后服务、IT服务产品销售、系统集成及高端存储服务。公司总部位于北京，公司先后在华北区、华东区、中南区三个大区，成立了上海、深圳、南京、桂林、金山、淮安、邯郸等八家分公司二十一家联想服务网络，为了适应市场发展，公司自2006年全面调整及资源整合，成立公司总部管理平台，以IT基础服务为中心，同时大力提升与发展全方位的IT服务外包，高端技术解决方案等业务。致力于打造中国一流的IT服务企业。公司总部地址：北京市海淀区高里掌路1号院11号楼2单元3层,linux系统工程师,民营公司,上班地址：上步中路科技大厦,岗位职责： 1、对基于Linux的系统平台进行监控巡检； 2、对系统内存使用率进行检查和监控； 3、查看系统日志； 4、异常事件的协调处理与报告； 5、系统维护相关的配合工作；6、linux、mysql数据库维护技术支持经验；7、精通linux相关开源软件（如：jboss-web、apche、mysql、nosql等）、熟悉虚拟化、云计算技术；8、具备shell、python脚本编程能力；9、能独立完成linux各种故障处理。 任职要求： 1、熟悉Windows server及Linux操作系统的各种服务； 2、有相关经验者优先；3、诚信正直，具备高度的责任心； 4、具备良好的学习和沟通能力； 5、具备良好的敬业精神。,"['五险一金', '员工旅游', '绩效奖金', '交通补贴', '通讯补贴', '专业培训', '定期体检', '年终奖金']"
