houskeyword,rent,housetype,area,payment,district,tage,orientation,decoration,towertype,heating,rentway,looktime,tradingarea,metor
航天社区可短租 电梯房一居室,5500,1室1厅,50,押2付3,东南小区,高楼层/16层,南,精装,塔楼,集中供暖,整租,随时看房,中关村,距离地铁海淀黄庄591米
宣武门地铁口短租8个月！西单、长椿街、金融街不远,8000,3室1厅,65.71,押1付3,宣武门西大街,低楼层/11层,南北,精装,板楼,集中供暖,整租,随时看房,金融街,距离地铁长椿街372米
珠江罗马嘉园精装四居,17500,4室2厅,187.11,押1付3,珠江罗马嘉园东区,中楼层/17层,南北,中装,板楼,集中供暖,整租,电话预约,大悦城,距离地铁青年路392米
10号线地铁附近 带电梯两居室 拎包入住,5500,2室1厅,81,押1付3,临泓路六号院,低楼层/18层,西南,中装,板塔结合,自供暖,整租,随时看房,大红门,距离地铁大红门180米
梨园地铁站，时尚街区两居空房，一百平空间大，卧室临街,5800,2室1厅,100,押2付3,时尚街区东区,低楼层/18层,西北,中装,板楼,集中供暖,整租,随时看房,梨园,距离地铁梨园164米
宝隆公寓精装修一居室 有钥匙 随时看房,4600,1室1厅,62.14,押2付3,宝隆公寓,高楼层/30层,南,精装,板楼,集中供暖,整租,随时看房,科技园区,距离地铁科怡路268米
普天大院，积水潭，低楼层1居室，看房有钥匙，随时看房,6500,1室1厅,45,押2付3,普天大院,低楼层/6层,南,精装,板楼,集中供暖,整租,随时看房,德胜门,距离地铁积水潭538米
立水桥南向一居室 拎包住随时看,5400,1室1厅,60.82,押1付3,北方明珠,中楼层/23层,南,中装,板楼,自供暖,整租,随时看房,立水桥,距离地铁立水桥452米
果园  靓景明居,4500,2室1厅,100,押2付3,靓景明居,顶层/6层,南北,简装,板楼,集中供暖,整租,电话预约,九棵树(家乐福),距离地铁果园1351米
6号线常营万象四区 小区集中供暖 紧邻天街华联 看房随时,5800,1室1厅,70.29,押2付3,万象新天四区,低楼层/10层,北,精装,塔楼,集中供暖,整租,随时看房,常营,距离地铁常营462米
龙腾苑四区 正规三居室,7400,3室1厅,104.83,押2付3,龙腾苑四区,中楼层/6层,南北,中装,板楼,自供暖,整租,随时看房,回龙观,距离地铁回龙观666米
广渠路 长城国际 新上精装修一居室 业主直租良心价位,3600,1室1厅,53,押2付3,长城国际,中楼层/20层,西,精装,塔楼,集中供暖,整租,随时看房,通州北苑,距离地铁果园986米
首科花园  六里桥东 有钥匙 随时看,7500,2室1厅,98,押2付3,首科花园,低楼层/24层,南,中装,塔楼,集中供暖,整租,随时看房,太平桥,距离地铁六里桥东1010米
