carname,officialprice,carfuelc,brand,MIITfuelc,displacement,rank,gearbox,cartype,ranking,carstrength,configuration,major,ownerevaluate,price,versions1,versionsp1,versions2,versionsp2
朗动,10.58-12.78万,6.90-8.30L/100km,现代,暂无信息,"['1.6L', '1.8L']",紧凑型车,"['手动', '手自一体']",三厢车,该车车实力评分高于10%同级别车系查看详情,63.5,较弱,良好,良好,优秀, 2016款 1.6L 自动智能型,11.58万, 2016款 1.6L 自动尊贵型,12.78万
艾瑞泽EX,5.99-8.29万,6.90-9.30L/100km,奇瑞,暂无信息,['1.5L'],紧凑型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.2,较弱,测试中,优秀,一般, 2019款 1.5L 自动自在版,7.49万, 2019款 1.5L 自动悦想版,8.29万
众泰Z360,5.88-8.68万,6.90-9.30L/100km,众泰,暂无信息,"['1.5L', '1.6L']",紧凑型车,['手动'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.1,较弱,测试中,良好,良好, 2017款 1.5L 手动豪华型,6.38万, 2017款 1.5L 手动旗舰型,7.88万
骏派A50,5.59-7.29万,6.90-10.00L/100km,一汽,暂无信息,['1.5L'],紧凑型车,['手动'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.4,较弱,测试中,一般,一般, 2018款 1.5L 手动舒适型,5.99万, 2018款 1.5L 手动智联豪华型,6.79万
东风风神A30,5.97-8.57万,6.90-10.10L/100km,东风风神,暂无信息,['1.5L'],紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.8,较弱,测试中,良好,良好, 2014款 1.5L 自动智尚型,7.97万, 2014款 1.5L 自动尊尚型,8.57万
福睿斯,8.78-12.23万,6.90-10.50L/100km,福特,暂无信息,"['1.0T', '1.5L']",紧凑型车,"['手动', '手自一体']",三厢车,该车车实力评分高于46%同级别车系查看详情,69.5,较弱,优秀,一般,良好, 2019款 EcoBoost 125 自动臻享型,11.98万, 2019款 1.5L 自动悦享型,10.38万
逸动,7.49-10.69万,6.90-11.00L/100km,长安汽车,6.20-7.20L/100km,"['1.5T', '1.6L']",紧凑型车,"['手动', '手自一体']",三厢车,该车车实力评分高于59%同级别车系查看详情,70.4,较弱,良好,优秀,一般, 2018款 高能版 1.6L GDI 自动争锋型,9.99万, 2018款 1.6L GDI 自动领尚型,9.89万
荣威e550,23.98万,7.00L/100km,荣威,暂无信息,['1.5L'],紧凑型车,['自动'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.8,一般,测试中,优秀,一般, 2016款 豪华版 ,停售, 2016款 旗舰版,停售
天语SX4,7.98-9.98万,7.00-7.80L/100km,铃木,5.60-6.00L/100km,"['1.6L', '1.8L']",紧凑型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.2,较弱,测试中,较弱,良好, 2016款 1.6L 自动经典版,8.98万, 2015款 基本型,停售
思域,11.59-16.99万,7.00-7.90L/100km,本田,6.60-7.40L/100km,"['1.0T', '1.5T', '1.8L', '2.0L', '2.4L']",紧凑型车,"['手动', '无级变速']",三厢车,该车车实力评分高于95%同级别车系查看详情,75.2,一般,优秀,优秀,优秀, 2017款 180TURBO 自动舒适版,12.79万, 2017款 180TURBO 手动舒适版,11.59万
标致308S,11.27-17.97万,7.00-8.80L/100km,标致,暂无信息,"['1.2T', '1.6L', '1.6T']",紧凑型车,"['手动', '手自一体']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.2,较弱,测试中,优秀,一般, 2016款 1.2T 手动尚驰版,12.07万, 2015款 1.6T 自动睿驰版,17.97万
竞瑞,8.99-12.79万,7.00-9.30L/100km,本田,暂无信息,['1.5L'],紧凑型车,"['手动', '无级变速']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.9,较弱,测试中,一般,一般, 2017款 1.5L CVT风尚版,12.29万, 2017款 1.5L CVT豪华版,12.79万
速锐,5.99-9.59万,7.00-9.80L/100km,比亚迪,暂无信息,"['1.5L', '1.5T']",紧凑型车,"['手动', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.2,较弱,测试中,良好,优秀, 2018款 1.5L 畅享型,6.59万, 2018款 1.5L 尊享型,6.99万
东风风神A60,6.97-15.47万,7.00-10.00L/100km,东风风神,7.70L/100km,"['1.4T', '1.5L', '1.6L', '2.0L']",紧凑型车,"['手动', '自动', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.7,较弱,测试中,良好,良好, 2017款 EV,未上市, 2017款 1.6L DCT行业版尊贵型,15.47万
中华H3,6.39-8.89万,7.00-10.00L/100km,中华,暂无信息,"['1.5L', '1.5T']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.6,较弱,测试中,一般,一般, 2017款 1.5T 自动旗舰型,8.89万, 2017款 1.5L 自动豪华型,7.99万
蔚领,11.69-16.29万,7.00-11.30L/100km,大众,暂无信息,"['1.4T', '1.5L', '1.6L']",紧凑型车,"['手动', '手自一体', '双离合']",旅行车,该车车实力评分高于49%同级别车系查看详情,69.6,一般,良好,良好,一般, 2018款 230TSI DSG豪华型,16.29万, 2018款 1.5L 自动舒适型,13.79万
蓝鸟,10.59-14.64万,7.00-11.50L/100km,日产,6.90-7.20L/100km,"['1.6L', '2.0L']",紧凑型车,"['手动', '无级变速']",三厢车,该车车实力评分高于24%同级别车系查看详情,65.9,较弱,良好,优秀,一般, 2019款 1.6L CVT智联高能版,14.39万, 2018款 1.6L CVT高能潮音版,14.64万
宝马1系,19.98-31.78万,7.10-9.60L/100km,宝马,暂无信息,"['1.5T', '2.0T']",紧凑型车,['手自一体'],三厢车,该车车实力评分高于93%同级别车系查看详情,74.7,一般,优秀,优秀,较弱, 2019款 三厢 M运动版,即将上市, 2018款 三厢 125i 运动型,31.78万
比亚迪G3,6.29-7.89万,7.10-9.80L/100km,比亚迪,7.30-8.20L/100km,"['1.5L', '1.8L']",紧凑型车,"['手动', '无级变速', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.7,较弱,测试中,一般,一般, 2012款 1.8L CVT 豪华型,7.89万, 2012款 1.5L MT 豪华型,6.69万
高尔夫・嘉旅,13.19-19.79万,7.10-10.50L/100km,大众,暂无信息,"['1.2T', '1.4T', '1.6L']",紧凑型车,"['手动', '手自一体', '双离合']",['紧凑型车'],该车车实力评分高于90%同级别车系查看详情,74.4,一般,良好,优秀,一般, 2019款 280TSI 自动遨游型,19.79万, 2016款 280TSI 自动豪华型,停售
逸动XT,7.19-10.99万,7.10-10.50L/100km,长安汽车,暂无信息,"['1.5T', '1.6L']",紧凑型车,"['手动', '手自一体', '双离合']",两厢车,该车车实力评分高于15%同级别车系查看详情,64.7,较弱,一般,良好,良好, 2018款 1.6L GDI 自动风潮型,9.49万, 2018款 1.6L GDI 自动领潮型,10.99万
帝豪GL,7.88-11.58万,7.20-8.70L/100km,吉利汽车,暂无信息,"['1.3T', '1.4T', '1.8L']",紧凑型车,"['手动', '双离合']",三厢车,该车车实力评分高于69%同级别车系查看详情,71.5,一般,良好,优秀,良好, 2018款 1.8L 自动精英智联型,9.68万, 2018款 1.4T 自动精英智联型,9.98万
东风风神L60,8.97-12.97万,7.20-9.70L/100km,东风风神,暂无信息,"['1.6L', '1.8L']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.7,较弱,测试中,优秀,一般, 2015款 1.8L 自动新睿型,12.97万, 2015款 1.8L 自动新享型,10.87万
全新悦动,7.99-11.59万,7.20-9.90L/100km,现代,暂无信息,['1.6L'],紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.8,较弱,测试中,优秀,一般, 2018款 1.6L 自动悦目版,8.49万, 2017款 1.6L 自动悦心版,11.59万
荣威360,7.79-12.99万,7.20-10.30L/100km,荣威,暂无信息,"['1.4T', '1.5L']",紧凑型车,"['手动', '手自一体', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.0,较弱,测试中,优秀,良好, 2018款 基本型,未上市, 2018款 PLUS 20T 双离合尊享版,10.79万
凌渡,14.59-21.59万,7.20-11.00L/100km,大众,暂无信息,"['1.4T', '1.8T', '2.0T']",紧凑型车,"['手动', '双离合']",三厢车,该车车实力评分高于92%同级别车系查看详情,74.6,一般,优秀,良好,良好, 2019款 280TSI DSG豪华版 国V,20.19万, 2019款 280TSI DSG舒适版 国VI,18.49万
逸动DT,5.49-8.09万,7.20-13.80L/100km,长安汽车,暂无信息,"['1.0T', '1.6L']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.6,较弱,测试中,良好,一般, 2018款 1.6L 自动智享型,7.39万, 2018款 1.6L 自动尊享型,8.09万
中华H530,8.58-13.98万,7.30-8.60L/100km,中华,6.90-7.60L/100km,"['1.5T', '1.6L']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.1,较弱,测试中,良好,良好, 2017款 1.6L AT 基本型,未上市, 2014款 1.6L MT 豪华型,9.38万
荣威350,7.87-14.07万,7.30-8.70L/100km,荣威,暂无信息,"['1.5L', '1.5T']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.7,较弱,测试中,良好,良好, 2015款 1.5L 自动豪华天窗版,8.77万, 2015款 1.5L 手动豪华天窗版,7.87万
奔腾B30,6.58-9.28万,7.30-10.60L/100km,奔腾,暂无信息,['1.6L'],紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.2,较弱,测试中,良好,良好, 2017款 1.6L 自动豪华型,8.28万, 2017款 1.6L 手动豪华型,7.28万
荣威i5,6.89-11.59万,7.30-11.00L/100km,荣威,暂无信息,"['1.5L', '1.5T']",紧凑型车,"['手动', '无级变速', '双离合']",三厢车,该车车实力评分高于41%同级别车系查看详情,68.3,较弱,良好,优秀,一般, 2019款 20T 自动智联网超能智尊版,11.59万, 2019款 1.5L 自动4G互联朗豪版,9.29万
艾瑞泽7,7.99-10.39万,7.40-8.80L/100km,奇瑞,暂无信息,"['1.5T', '1.6L']",紧凑型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.8,较弱,测试中,优秀,一般, 2017款 1.5T CVT 致尚版,9.69万, 2016款 1.6L CVT 致尚版,8.89万
锐3,5.98-9.68万,7.40-11.00L/100km,纳智捷,暂无信息,['1.6L'],紧凑型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.5,较弱,测试中,一般,一般, 2016款 EV 基本型,未上市, 2016款 1.6L 手动舒享型,5.98万
中华H320,6.38-7.88万,7.50-8.50L/100km,中华,暂无信息,['1.5L'],紧凑型车,"['手动', '自动']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分37.7,较弱,测试中,较弱,一般, 2012款 1.5L 自动 豪华型,7.88万, 2012款 1.5L 手动 豪华型,7.18万
中华H330,6.58-8.98万,7.50-8.80L/100km,中华,暂无信息,['1.5L'],紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分38.7,较弱,测试中,一般,良好, 2013款 1.5L 自动豪华型,7.58万, 2013款 1.5L 自动舒适型,6.98万
荣威i6,8.98-14.38万,7.50-9.00L/100km,荣威,暂无信息,"['1.0T', '1.5T']",紧凑型车,"['手动', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.4,一般,测试中,优秀,一般, 2018款 20T 自动旗舰版,11.68万, 2018款 20T 自动互联网智享版,12.68万
传祺GA3S视界,6.98-11.98万,7.50-9.60L/100km,广汽传祺,暂无信息,"['1.3T', '1.6L']",紧凑型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.2,较弱,测试中,良好,良好, 2016款 PHEV,未上市, 2016款 200T 手动豪华ESP版,8.18万
沃兰多,11.99-15.49万,7.50-10.00L/100km,雪佛兰,暂无信息,['1.3T'],紧凑型车,"['手动', '手自一体']",两厢车,该车车实力评分高于88%同级别车系查看详情,74.1,一般,良好,优秀,一般, 2019款 Redline 530T 自动耀享版(5+2款),15.49万, 2019款 Redline 530T 自动纵享版(5+2款),14.99万
甲壳虫,18.28-25.68万,7.50-10.50L/100km,大众,5.60-30.60L/100km,"['1.2T', '1.4T', '1.6L', '1.8L', '1.8T', '2.0L', '2.0T']",紧凑型车,['双离合'],软顶敞篷车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.3,一般,测试中,良好,一般, 2019款 180TSI 经典版,21.68万, 2018款 180TSI 魅舞红版,20.78万
杰德,12.99-17.99万,7.60-9.10L/100km,本田,暂无信息,"['1.5T', '1.8L']",紧凑型车,"['自动', '无级变速']",两厢车,该车车实力评分高于81%同级别车系查看详情,72.9,较弱,优秀,良好,良好, 2017款 210TURBO CVT风尚版 5座,15.59万, 2017款 210TURBO CVT豪华版 6座,17.99万
明锐旅行车,12.49-17.49万,7.60-9.80L/100km,斯柯达,暂无信息,"['1.2T', '1.4T', '1.6L']",紧凑型车,"['手动', '手自一体', '双离合']",旅行车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.8,一般,测试中,良好,一般, 2018款 TSI280 DSG豪华版,16.49万, 2018款 TSI280 DSG旗舰版,17.49万
观致3,9.89-15.39万,7.60-10.30L/100km,观致,暂无信息,"['1.6L', '1.6T']",紧凑型车,"['手动', '双离合']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.1,较弱,测试中,良好,一般, 2017款 GT 1.6T 自动致锐型,停售, 2016款 两厢 1.6T 自动致酷型,停售
经典世嘉,9.58-11.18万,7.70-8.90L/100km,雪铁龙,6.00-8.50L/100km,"['1.6L', '2.0L']",紧凑型车,"['手动', '手自一体']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.5,较弱,测试中,良好,一般, 2014款 VTS版 2.0L 手动品悦型,停售, 2014款 VTS版 1.6L 自动品尚型,停售
思铭,9.99-11.69万,7.70-9.00L/100km,思铭,6.90-7.20L/100km,['1.8L'],紧凑型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分39.9,较弱,测试中,良好,良好, 2015款 1.8L VTI 自动豪华版,11.69万, 2015款 1.8L EXI 自动舒适版,10.99万
奔驰A级(进口),21.98-33.68万,7.80-10.90L/100km,奔驰,7.20-7.70L/100km,"['1.5L', '1.6T', '1.7L', '2.0T']",紧凑型车,['双离合'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.0,一般,测试中,优秀,一般, 2019款 A 250 4MATIC,未上市, 2019款 A 220 AMG Line Sedan,未上市
昕动,6.99-11.99万,7.90-9.80L/100km,斯柯达,暂无信息,"['1.4L', '1.4T', '1.5L', '1.6L']",紧凑型车,"['手动', '自动', '双离合']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.8,较弱,测试中,优秀,良好, 2018款 230TSI DSG运动版,11.99万, 2018款 1.6L 自动运动版,10.99万
沃尔沃V40,21.59-28.99万,7.90-11.00L/100km,沃尔沃,暂无信息,"['1.5T', '1.6T', '2.0T']",紧凑型车,['手自一体'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.8,一般,测试中,良好,一般, 2018款 1.5T T3 智雅版,24.89万, 2018款 1.5T T3 智逸版,23.09万
比亚迪G5,7.59-10.29万,8.00-8.80L/100km,比亚迪,暂无信息,['1.5T'],紧凑型车,"['手动', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.7,较弱,测试中,优秀,良好, 2015款 1.5TID 自动旗舰型 ,10.29万, 2015款 1.5TID 自动尊贵型 ,9.39万
宝马2系旅行车,22.48-32.98万,8.00-10.50L/100km,宝马,暂无信息,"['1.5T', '2.0T']",紧凑型车,['手自一体'],旅行车,该车车实力评分高于63%同级别车系查看详情,70.9,一般,良好,优秀,较弱, 2018款 218i 尊享型运动套装,26.48万, 2016款 220i 豪华设计套装,32.98万
LA FESTA菲斯塔,11.98-15.48万,8.00-12.00L/100km,现代,暂无信息,"['1.4T', '1.6T']",紧凑型车,['双离合'],三厢车,该车车实力评分高于61%同级别车系查看详情,70.6,一般,良好,优秀,一般, 2019款 280 TGDi 智速版 国V,14.08万, 2019款 280 TGDi 智尊版 国VI,15.48万
DS 5LS,16.88-22.98万,8.10-8.70L/100km,DS,暂无信息,"['1.6T', '1.8L', '1.8T']",紧凑型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.8,一般,测试中,优秀,一般, 2018款 30THP 奢华型,22.98万, 2016款 1.8T 尊享版 THP200,停售
全新爱丽舍,8.38-12.58万,8.10-10.60L/100km,雪铁龙,暂无信息,['1.6L'],紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.8,较弱,测试中,优秀,良好, 2018款 1.6L 手动时尚型,8.38万, 2017款 1.6L 自动舒适型,停售
标致308,9.97-15.97万,8.10-11.00L/100km,标致,7.30-8.20L/100km,"['1.2T', '1.6L', '1.6T', '2.0L']",紧凑型车,"['手动', '手自一体']",三厢车,该车车实力评分高于20%同级别车系查看详情,65.4,较弱,良好,较弱,一般, 2018款 1.6L 自动豪华版,12.77万, 2018款 1.6L 自动时尚版,11.27万
荣威550,11.68-18.28万,8.20-10.60L/100km,荣威,5.60-6.80L/100km,"['1.8L', '1.8T']",紧凑型车,"['手动', '手自一体', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.6,较弱,测试中,良好,一般, 2014款 550S 1.8L 自动智选版,12.98万, 2014款 550S 1.8L 手动智选版,11.68万
路盛E70,6.97-8.97万,8.30-10.00L/100km,华泰,暂无信息,"['1.5T', '2.0L']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.9,较弱,测试中,一般,一般, 2013款 2.0L 手动舒适型,6.97万, 2013款 1.5T 自动尊贵型,未上市
福瑞迪,7.88-10.98万,8.30-10.30L/100km,起亚,6.95-7.72L/100km,"['1.6L', '2.0L']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.4,较弱,测试中,良好,良好, 2018款 1.6L 自动智享豪华版Value-Comfort,10.98万, 2018款 1.6L 手动舒适版Smart,7.88万
Veloster,17.28-21.98万,8.30-10.40L/100km,现代,7.50L/100km,"['1.6L', '1.6T']",紧凑型车,"['手动', '双离合']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.8,一般,测试中,一般,一般, 2018款 Turbo R-Spec,未上市, 2018款 Turbo,未上市
宝马2系,25.58-49.98万,8.30-11.00L/100km,宝马,暂无信息,"['1.5T', '2.0T', '3.0T']",紧凑型车,['手自一体'],软顶敞篷车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.0,一般,测试中,优秀,较弱, 2018款 M240i M Performance 特别版,49.98万, 2018款 M240i,45.98万
DS 4S,17.19-22.99万,8.40-9.30L/100km,DS,暂无信息,"['1.2T', '1.6T', '1.8T']",紧凑型车,['手自一体'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.0,一般,测试中,优秀,较弱, 2018款 30THP 悦动型,17.19万, 2018款 30THP P-Line运动型,19.59万
福美来F5,5.98-9.28万,8.40-9.70L/100km,海马,暂无信息,['1.6L'],紧凑型车,"['手动', '手自一体']",三厢车,该车车实力评分高于5%同级别车系查看详情,61.8,较弱,一般,优秀,一般, 2018款 1.6L 自动豪华型,9.28万, 2018款 1.6L 自动精英型,8.58万
奔驰B级,22.58-33.98万,8.40-12.00L/100km,奔驰,7.20L/100km,"['1.6T', '2.0L', '2.0T']",紧凑型车,['双离合'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.6,一般,测试中,优秀,较弱, 2020款 基本型,未上市, 2019款 B 200 动感型,24.38万
传祺GA4,7.38-11.58万,8.50-11.70L/100km,广汽传祺,暂无信息,"['1.3T', '1.5L']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.7,一般,测试中,良好,一般, 2018款 200T 自动豪华版,9.68万, 2018款 200T 自动尊贵版,11.58万
秦Pro,7.98-11.58万,8.50-11.90L/100km,比亚迪,暂无信息,"['1.5L', '1.5T']",紧凑型车,"['手动', '双离合']",三厢车,该车车实力评分高于66%同级别车系查看详情,71.3,一般,良好,优秀,一般, 2019款 1.5TI 自动智联锋耀型,11.58万, 2019款 1.5TI 自动智联锋尚型,9.98万
雪铁龙C4L,13.49-18.29万,8.60-11.30L/100km,雪铁龙,暂无信息,"['1.2T', '1.6L', '1.6T', '1.8L']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.8,一般,测试中,良好,一般, 2016款 1.6THP 自动精英型,停售, 2016款 1.6THP 自动旗舰版,停售
纳5,8.58-11.98万,8.60-11.80L/100km,纳智捷,暂无信息,"['1.8T', '2.0T']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.2,较弱,测试中,优秀,一般, 2015款 舞动限量版 1.8T AT 豪华型,停售, 2015款 1.8T 自动智慧型,停售
绅宝 CC,9.98-14.98万,8.80-12.80L/100km,北汽绅宝,暂无信息,"['1.8T', '2.0T']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.2,较弱,测试中,良好,一般, 2015款 2.0T 自动豪华版,14.98万, 2015款 1.8T 自动舒适版,11.28万
风朗,16.58-18.98万,9.20-10.90L/100km,雷诺,8.00L/100km,['2.0L'],紧凑型车,['无级变速'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.7,一般,测试中,良好,一般, 2015款 2.0L 豪华导航版 ,18.98万, 2015款 2.0L 标准版,16.58万
奔驰GLS,102.28-158.80万,8.60-11.00L/100km,奔驰,暂无信息,"['3.0T', '4.0T']",大型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分58.7,优秀,测试中,优秀,一般, 2018款 改款 GLS 500 4MATIC,158.8万, 2016款 GLS 500 4MATIC,停售
YUKON,118.80-238.00万,11.00-22.50L/100km,GMC,暂无信息,"['5.3L', '6.2L']",大型SUV,['手自一体'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.4,良好,测试中,优秀,较弱, 2018款 XL Denali,未上市, 2018款 Denali Ultimate Black,未上市
传祺GS4新能源,19.68-21.98万,3.20-8.70L/100km,广汽新能源,暂无信息,"['1.5L', '纯电动']",紧凑型SUV,[],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.3,一般,测试中,较弱,一般, 2019款 1.5L PHEV智享版,19.68万, 2017款 1.5L PHEV智享版,20.98万
宋新能源,17.69-27.42万,3.70-7.30L/100km,比亚迪,暂无信息,"['1.5T', '纯电动']",紧凑型SUV,['双离合'],[],该车车实力评分高于48%同级别车系查看详情,71.2,一般,良好,良好,一般, 2019款 宋EV500 智联领耀型,21.99万, 2019款 宋DM 1.5TI 四驱智联锐耀型,20.69万
本田CR-V锐・混动,21.98-27.68万,5.40-9.00L/100km,本田,暂无信息,['2.0L'],紧凑型SUV,[],[],该车车实力评分高于96%同级别车系查看详情,78.2,良好,优秀,良好,一般, 2019款 混动 2.0L 四驱净享版 国VI,27.68万, 2019款 混动 2.0L 两驱净驰版 国V,24.18万
本田CR-V,16.98-24.98万,6.20-10.90L/100km,本田,7.20-9.90L/100km,"['1.5T', '2.0L', '2.4L']",紧凑型SUV,"['手动', '无级变速']",[],该车车实力评分高于88%同级别车系查看详情,76.8,一般,优秀,良好,良好, 2017款 240TURBO 自动 四驱豪华版,21.38万, 2017款 240TURBO 自动 四驱尊贵版,23.18万
众泰大迈X5,6.99-11.19万,6.30-9.80L/100km,众泰,暂无信息,"['1.5T', '1.6L', '1.6T']",紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.1,较弱,测试中,良好,良好, 2017款 超值版 1.6L 手动舒适型,6.99万, 2017款 超值版 1.6L 手动时尚型,6.99万
T-ROC探歌,13.98-20.98万,6.50-9.20L/100km,大众,暂无信息,"['1.2T', '1.4T']",紧凑型SUV,"['手动', '双离合']",[],该车车实力评分高于62%同级别车系查看详情,73.4,一般,良好,优秀,一般, 2018款 280TSI DSG四驱豪华型,20.98万, 2018款 280TSI DSG四驱舒适型,19.48万
瑞虎5x,6.59-11.09万,6.50-9.80L/100km,奇瑞,暂无信息,"['1.5L', '1.5T']",紧凑型SUV,"['手动', '无级变速', '双离合']",[],该车车实力评分高于21%同级别车系查看详情,68.4,较弱,良好,良好,良好, 2019款 1.5L CVT 智享版,8.49万, 2017款 1.5T 手动 豪华型,9.49万
风行SX6,7.49-8.89万,6.60-10.80L/100km,东风风行,暂无信息,"['1.3T', '1.6L', '2.0L']",紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.8,较弱,测试中,较弱,良好, 2018款 1.6L CVT豪华型,8.89万, 2016款 2.0L 手动豪华型,停售
森雅R9,8.39-12.59万,6.60-11.00L/100km,一汽,暂无信息,['1.2T'],紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.8,一般,测试中,优秀,一般, 2018款 1.2T 自动豪华智尚型,10.29万, 2018款 1.2T 自动旗舰智享型,12.59万
全新途胜,15.59-23.99万,6.70-9.80L/100km,现代,暂无信息,"['1.6T', '2.0L']",紧凑型SUV,['双离合'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.0,一般,测试中,良好,一般, 2019款 280TGDi TOP 四驱智尊版,23.99万, 2019款 280TGDi GLS 两驱时尚版,17.99万
哈弗H4,7.90-11.60万,6.80-10.00L/100km,哈弗,暂无信息,"['1.3T', '1.5T']",紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.6,一般,测试中,优秀,一般, 2019款 蓝标 1.5GDIT 自动精英智联版,9.5万, 2018款 蓝标 1.5GDIT 自动风尚型,11.6万
瑞虎7,8.59-15.09万,6.80-10.30L/100km,奇瑞,暂无信息,"['1.5T', '2.0L']",紧凑型SUV,"['手动', '双离合']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.0,一般,测试中,优秀,一般, 2018款 FLY款 1.5T DCT劲享版,10.39万, 2018款 1.5T 手动精英领先版,11.79万
宝骏530,7.58-11.58万,6.90-10.80L/100km,宝骏,暂无信息,"['1.5T', '1.8L']",紧凑型SUV,"['手动', '无级变速', '双离合']",[],该车车实力评分高于4%同级别车系查看详情,62.8,较弱,一般,良好,一般, 2019款 1.5T CVT尊贵型,10.28万, 2018款 1.8L 自动精英型,8.98万
SWM斯威G01,7.99-14.79万,6.90-11.20L/100km,SWM斯威汽车,暂无信息,['1.5T'],紧凑型SUV,"['手动', '手自一体']",[],该车车实力评分高于40%同级别车系查看详情,70.8,一般,一般,优秀,一般, 2019款 1.5T 自动傲F,12.59万, 2018款 1.5T 自动智up,10.99万
